Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Colorado State University,126818,2009,Football Bowl Subdivision,Mountain West Conference,25984458,358345,507503,2885166,4892576,5588655,26199379,2547475,2450295,187000,3388432
Colorado State University,126818,2010,Football Bowl Subdivision,Mountain West Conference,25355036,563207,503749,2454097,4943141,5789717,26552383,2107444,2413095,564149,2473093
Colorado State University,126818,2011,Football Bowl Subdivision,Mountain West Conference,25948502,394814,540678,3067012,4948414,6227779,29372783,2926681,2970589,221000,2929003
Colorado State University,126818,2012,Football Bowl Subdivision,Mountain West Conference,30161147,453645,590970,3369728,6007159,6377454,30802879,2682363,3386161,119260,3110038
Colorado State University,126818,2013,Football Bowl Subdivision,Mountain West Conference,34468927,562509,933372,3993671,7667445,6984374,34791926,2574463,4935167,90500,2975705
Colorado State University,126818,2014,Football Bowl Subdivision,Mountain West Conference,36944157,624508,810281,4122248,8457968,7581170,38739665,2330419,6097730,1585601,3342818
Colorado State University,126818,2015,Football Bowl Subdivision,Mountain West Conference,38781340,741644,792438,3951483,9053491,7799416,38451203,2809868,3761499,1003450,3880855
Colorado State University,126818,2016,Football Bowl Subdivision,Mountain West Conference,40699254,756817,927212,5074957,8901558,8962805,39767363,3360319,3307918,16284,4155558
Colorado State University,126818,2017,Football Bowl Subdivision,Mountain West Conference,43965622,949865,885327,5374488,9148513,9171934,44672317,5945315,3740779,273278,4231475
Colorado State University,126818,2018,Football Bowl Subdivision,Mountain West Conference,52159851,827253,889715,5973025,10292102,9258376,54728814,6832727,7324738,1486022,5791080
East Carolina University,198464,2005,Football Bowl Subdivision,Conference USA,21763041,230569,349473,2653983,3682119,4289965,21128219,768162,3844313,1820580,2983554
East Carolina University,198464,2006,Football Bowl Subdivision,Conference USA,23475157,510090,355842,3071643,3710684,4812314,22668129,1059763,4123482,361500,3075339
East Carolina University,198464,2007,Football Bowl Subdivision,Conference USA,24932913,587808,319104,3581922,3904185,4667925,25156642,841476,4192467,356000,4772337
East Carolina University,198464,2008,Football Bowl Subdivision,Conference USA,27625195,334920,349602,4608017,4414293,4437124,29268128,922263,4330917,707000,5880754
East Carolina University,198464,2009,Football Bowl Subdivision,Conference USA,29581993,397472,380641,4873793,6241229,4482508,31984658,1105956,4781806,2529632,5571181
East Carolina University,198464,2010,Football Bowl Subdivision,Conference USA,30473691,459704,444601,4867611,6467151,5250045,32280456,1012078,4440585,486346,6138102
East Carolina University,198464,2011,Football Bowl Subdivision,Conference USA,32220961,389770,470561,4726296,6011903,5823307,34048869,1263010,4900366,515500,8010665
East Carolina University,198464,2012,Football Bowl Subdivision,Conference USA,33623495,514813,587319,5093613,5966793,6163139,35575172,1474021,5109529,1802459,7935985
East Carolina University,198464,2013,Football Bowl Subdivision,Conference USA,36639494,461488,523132,5256501,7259425,6931230,35805232,1673619,5744975,734500,6859822
East Carolina University,198464,2014,Football Bowl Subdivision,Conference USA,38723518,445084,655089,5280839,7140029,7050840,36598782,2192837,6358202,532000,6772823
